id,source_id,model_name,framing_style,response_pattern,expected_hallucination_control,expected_uncertainty_handling,reference_label,domain
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_a::good_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_a,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_arctic_lake,hand_authored_boundary_target_a,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_arctic_lake,hand_authored_boundary_target_a,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_arctic_lake,hand_authored_boundary_target_a,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_a::partial_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_a,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_b::good_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_b,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_arctic_lake,hand_authored_boundary_target_b,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_arctic_lake,hand_authored_boundary_target_b,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_arctic_lake,hand_authored_boundary_target_b,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::assertive::hand_authored_boundary_target_b::partial_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_b,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_a::good_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_a,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_arctic_lake,hand_authored_boundary_target_a,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_arctic_lake,hand_authored_boundary_target_a,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_arctic_lake,hand_authored_boundary_target_a,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_a::partial_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_a,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_b::good_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_b,authoritative,good_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_b::overclaim_no_uncertainty,bc_nei_arctic_lake,hand_authored_boundary_target_b,authoritative,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_b::uncertain_but_unsupported_extra_claim,bc_nei_arctic_lake,hand_authored_boundary_target_b,authoritative,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_b::unsupported_claim_without_marker,bc_nei_arctic_lake,hand_authored_boundary_target_b,authoritative,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,science
bc_nei_arctic_lake::authoritative::hand_authored_boundary_target_b::partial_boundary,bc_nei_arctic_lake,hand_authored_boundary_target_b,authoritative,partial_boundary,1.0,1.0,NOT ENOUGH INFO,science
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_a::good_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,assertive,good_boundary,1.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_a::overclaim_no_uncertainty,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,assertive,overclaim_no_uncertainty,0.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_a::uncertain_but_unsupported_extra_claim,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,assertive,uncertain_but_unsupported_extra_claim,0.0,1.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_a::unsupported_claim_without_marker,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,assertive,unsupported_claim_without_marker,1.0,0.0,NOT ENOUGH INFO,education
bc_nei_tuebingen_policy::assertive::hand_authored_boundary_target_a::partial_boundary,bc_nei_tuebingen_policy,hand_authored_boundary_target_a,assertive,partial_boundary,1.0,1.0,NOT ENOUGH INFO,education
