id,source_id,target_model,model_name,reference_label,case_categories,selection_reason,source_selection_files,subset_name,subset_type,subset_policy
fever_52410::boundary_hard,fever_52410,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_79091::boundary_hard,fever_79091,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_226142::boundary_hard,fever_226142,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_112935::boundary_hard,fever_112935,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_116417::boundary_hard,fever_116417,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_140857::boundary_hard,fever_140857,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_10153::boundary_hard,fever_10153,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_104820::boundary_hard,fever_104820,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_6916::boundary_hard,fever_6916,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_141129::boundary_hard,fever_141129,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_53388::boundary_hard,fever_53388,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_140451::boundary_hard,fever_140451,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_74807::boundary_hard,fever_74807,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_86543::boundary_hard,fever_86543,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_50909::boundary_hard,fever_50909,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_185404::boundary_hard,fever_185404,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_76736::boundary_hard,fever_76736,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,direct_vs_full_shift; nei_boundary_failure,Full CALE changes the score substantially relative to the backend-specific direct baseline. | NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_direct_vs_full_shift.csv; selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
fever_59886::boundary_hard,fever_59886,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,NOT ENOUGH INFO,nei_boundary_failure,NEI case where Full CALE boundary-control indicators flag overclaim or uncertainty failure.,selected_nei_boundary_failure.csv,boundary_hard_real_subset,real_response_diagnostic_subset,selected from fixed target responses using global evaluator-audit behavior signals
